ccg.name,ccg.1314,ccg.1415
"Airedale, Wharfedale and Craven",187523000,191374000
Ashford,133705000,135852000
Aylesbury Vale,200187000,207091000
Barking and Dagenham,236597000,247562000
Barnet,399204000,417707000
Barnsley,345866000,353088000
Basildon and Brentwood,306129000,312020000
Bassetlaw,143396000,146232000
Bath and North East Somerset,212204000,213547000
Bedfordshire,437895000,454670000
Bexley,253760000,263441000
Birmingham CrossCity,859904000,876369000
Birmingham South and Central,269090000,278206000
Blackburn with Darwen,199628000,204245000
Blackpool,226053000,231940000
Bolton,342776000,349716000
Bracknell and Ascot,133292000,137730000
Bradford City,116568000,118575000
Bradford Districts,397867000,405413000
Brent,374321000,385175000
Brighton & Hove,340181000,344691000
Bristol,509092000,520009000
Bromley,363730000,379414000
Bury,213060000,221360000
Calderdale,263111000,268643000
Cambridgeshire and Peterborough,870004000,897433000
Camden,335004000,342053000
Cannock Chase,151369000,156182000
Canterbury and Coastal,241862000,244609000
Castle Point and Rochford,202855000,206705000
Central London (Westminster),248482000,257238000
Central Manchester,236038000,240192000
Chiltern,306414000,318370000
Chorley and South Ribble,216453000,220800000
City and Hackney,347292000,352977000
Coastal West Sussex,593921000,612987000
Corby,76474000,79724000
Coventry and Rugby,522688000,537107000
Crawley,144183000,146744000
Croydon,401532000,415121000
Cumbria,675933000,685330000
Darlington,133291000,138136000
"Dartford, Gravesham and Swanley",277985000,283583000
Doncaster,413781000,421000000
Dorset,918408000,936213000
Dudley,370271000,378451000
"Durham Dales, Easington and Sedgefield",404127000,418207000
Ealing,418180000,434556000
East and North Hertfordshire,601212000,621052000
East Lancashire,489319000,501802000
East Leicestershire and Rutland,317185000,327148000
East Riding of Yorkshire,355576000,359951000
East Staffordshire,140309000,140750000
East Surrey,182481000,188814000
"Eastbourne, Hailsham and Seaford",235200000,236686000
Eastern Cheshire,218607000,225348000
Enfield,329988000,344315000
Erewash,114941000,117761000
Fareham and Gosport,202387000,208100000
Fylde & Wyre,198709000,202921000
Gateshead,285979000,291946000
Gloucestershire,668628000,678601000
Great Yarmouth and Waveney,296852000,303064000
Greater Huddersfield,272681000,278379000
Greater Preston,244573000,249537000
Greenwich,325779000,332102000
Guildford and Waverley,226936000,230813000
Halton,177820000,181351000
"Hambleton, Richmondshire and Whitby",172963000,176537000
Hammersmith and Fulham,243942000,249224000
Hardwick,133599000,136629000
Haringey,305426000,320910000
Harrogate and Rural District,176902000,181281000
Harrow,230448000,245189000
Hartlepool and Stockton-on-Tees,365136000,373880000
Hastings and Rother,250722000,258606000
Havering,296295000,307645000
Herefordshire,209750000,214608000
Herts Valleys,640543000,656121000
"Heywood, Middleton & Rochdale",271872000,279872000
High Weald Lewes Havens,188065000,191272000
Hillingdon,285544000,301360000
Horsham and Mid Sussex,236060000,240058000
Hounslow,281113000,293513000
Hull,359736000,363975000
Ipswich and East Suffolk,401948000,412379000
Isle of Wight,198824000,200419000
Islington,302354000,312763000
Kernow,686247000,699119000
Kingston,193940000,201523000
Knowsley,243297000,248075000
Lambeth,412040000,424569000
Lancashire North,195289000,199405000
Leeds North,232804000,238856000
Leeds South and East,340327000,347292000
Leeds West,382690000,390712000
Leicester City,380399000,391818000
Lewisham,363570000,377759000
Lincolnshire East,309755000,315518000
Lincolnshire West,259049000,263760000
Liverpool,715844000,733747000
Luton,220971000,229413000
Mansfield & Ashfield,231784000,236811000
Medway,317231000,322097000
Merton,203649000,214170000
Mid Essex,389125000,399912000
Milton Keynes,251190000,261737000
Nene,654287000,679613000
Newark & Sherwood,148066000,151361000
Newbury and District,111347000,114972000
Newcastle,356452000,363959000
Newham,390940000,399692000
North & West Reading,109346000,113108000
North Derbyshire,369169000,377107000
North Durham,312479000,323986000
North East Essex,407043000,414596000
North East Hampshire and Farnham,227597000,231931000
North East Lincolnshire,209654000,212779000
North Hampshire,213863000,218908000
North Kirklees,220868000,225492000
North Lincolnshire,205673000,208339000
North Manchester,252967000,259052000
North Norfolk,211647000,215599000
North Somerset,238099000,247457000
North Staffordshire,253871000,259162000
North Tyneside,286787000,292469000
North West Surrey,392382000,399077000
"North, East, West Devon",1060242000,1081877000
Northumberland,417700000,426984000
Norwich,216484000,221846000
Nottingham City,391830000,397607000
Nottingham North & East,164111000,167565000
Nottingham West,103707000,107091000
Oldham,297594000,303577000
Oxfordshire,614023000,639720000
Portsmouth,245623000,249640000
Redbridge,284642000,301125000
Redditch and Bromsgrove,183085000,186912000
Richmond,207546000,213339000
Rotherham,332627000,339536000
Rushcliffe,125434000,128108000
Salford,324155000,331828000
Sandwell and West Birmingham,602212000,615871000
Scarborough and Ryedale,149751000,151341000
Sheffield,694154000,708615000
Shropshire,353362000,359934000
Slough,150460000,155539000
Solihull,266342000,269805000
Somerset,646048000,653639000
South Cheshire,195706000,202854000
South Devon and Torbay,373733000,378743000
South East Staffs and Seisdon and Peninsular,222195000,225181000
South Eastern Hampshire,218533000,224706000
South Gloucestershire,246319000,253850000
South Kent Coast,256768000,260892000
South Lincolnshire,182786000,187113000
South Manchester,205456000,209112000
South Norfolk,241760000,246860000
South Reading,118689000,122286000
South Sefton,225574000,226547000
South Tees,383789000,392252000
South Tyneside,226633000,233288000
South Warwickshire,293177000,300935000
South West Lincolnshire,147957000,150479000
South Worcestershire,309367000,316176000
Southampton,280725000,289097000
Southend,209563000,216323000
Southern Derbyshire,603407000,616640000
Southport and Formby,162684000,168541000
Southwark,354470000,369682000
St Helens,266462000,271754000
Stafford and Surrounds,155164000,160869000
Stockport,342685000,353208000
Stoke on Trent,346993000,354389000
Sunderland,415260000,431692000
Surrey Downs,326689000,333226000
Surrey Heath,108084000,109936000
Sutton,202835000,212209000
Swale,121942000,125876000
Swindon,225390000,233434000
Tameside and Glossop,309038000,316142000
Telford & Wrekin,188051000,191858000
Thanet,192710000,195391000
Thurrock,182722000,187136000
Tower Hamlets,328769000,336312000
Trafford,267345000,273861000
Vale of York,368071000,377321000
Vale Royal,116703000,119695000
Wakefield,456478000,466801000
Walsall,349020000,358494000
Waltham Forest,292622000,310272000
Wandsworth,384962000,392626000
Warrington,235434000,243896000
Warwickshire North,199440000,206518000
West Cheshire,303939000,310220000
West Essex,318286000,332207000
West Hampshire,577757000,588529000
West Kent,470799000,487590000
West Lancashire,136012000,138626000
West Leicestershire,367925000,380992000
West London,333661000,340694000
West Norfolk,213389000,217243000
West Suffolk,268887000,274052000
Wigan Borough,410947000,419195000
Wiltshire,513123000,519654000
"Windsor, Ascot and Maidenhead",144719000,149035000
Wirral,454920000,463049000
Wokingham,147012000,153514000
Wolverhampton,317892000,319316000
Wyre Forest,126524000,129131000
